OBJECTID,FID_BANJIR,ID,GRIDCODE,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,KELAS,SHAPE.AREA,SHAPE.LEN
670,463,464,2,Kembangan Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1006,31.73.08,31.73,Sedang,56237.4115192882,1298.06202545374
671,464,465,2,Kebon Melati,Tanah Abang,Kota Adm. Jakarta Pusat,31.71.07.1005,31.71.07,31.71,Sedang,188726.23286991302,2150.42159570467
672,464,465,2,Kebon Kacang,Tanah Abang,Kota Adm. Jakarta Pusat,31.71.07.1006,31.71.07,31.71,Sedang,116682.596732856,1634.2611901357102
673,464,465,2,Kampung Bali,Tanah Abang,Kota Adm. Jakarta Pusat,31.71.07.1007,31.71.07,31.71,Sedang,75869.6278488257,1199.48370976262
674,465,466,2,Kenari,Senen,Kota Adm. Jakarta Pusat,31.71.04.1002,31.71.04,31.71,Sedang,6403.80859381913,374.98004148125904
675,466,467,2,Paseban,Senen,Kota Adm. Jakarta Pusat,31.71.04.1003,31.71.04,31.71,Sedang,46197.7954638176,965.09865432734
676,466,467,2,Palmeriam,Matraman,Kota Adm. Jakarta Timur,31.75.01.1004,31.75.01,31.75,Sedang,45035.4878727089,898.201561239246
677,467,468,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,401733.122709717,3850.8372423884402
678,468,469,1,Menteng,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1001,31.71.06,31.71,Ringan,52106.7103742335,1120.2619784291
679,469,470,1,Menteng,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1001,31.71.06,31.71,Ringan,59190.3525965703,1473.17111256549
680,470,471,2,Kebon Manggis,Matraman,Kota Adm. Jakarta Timur,31.75.01.1005,31.75.01,31.75,Sedang,7199.98458537473,356.165288747065
681,470,471,2,Palmeriam,Matraman,Kota Adm. Jakarta Timur,31.75.01.1004,31.75.01,31.75,Sedang,2800.01541422884,255.50652640870402
682,471,472,1,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Ringan,154781.465271127,1956.33205752773
683,472,473,2,Meruya Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1003,31.73.08,31.73,Sedang,6403.80859381913,374.98004148125904
684,473,474,3,Petamburan,Tanah Abang,Kota Adm. Jakarta Pusat,31.71.07.1004,31.71.07,31.71,Berat,6846.86206410792,377.293209920794
685,474,475,1,Menteng,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1001,31.71.06,31.71,Ringan,6846.86206270237,377.293209881864
686,475,476,2,Kebon Manggis,Matraman,Kota Adm. Jakarta Timur,31.75.01.1005,31.75.01,31.75,Sedang,7174.56703430922,355.97073686926
687,475,476,2,Palmeriam,Matraman,Kota Adm. Jakarta Timur,31.75.01.1004,31.75.01,31.75,Sedang,2825.43296730597,256.687133519463
688,476,477,2,Utan Kayu Selatan,Matraman,Kota Adm. Jakarta Timur,31.75.01.1006,31.75.01,31.75,Sedang,6403.80859434266,374.980041487054
