OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1716,1057,1058,3,TEBET TIMUR,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1001,31.74.01,31.74,BERAT,502469.33893379,7529.323293517361,JAKARTA SELATAN,0.9
1717,1057,1058,3,TEBET BARAT,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1002,31.74.01,31.74,BERAT,277679.090812287,3918.1070325842898,JAKARTA SELATAN,0.9
1718,1057,1058,3,MENTENG DALAM,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1003,31.74.01,31.74,BERAT,115189.915207136,1642.49989261569,JAKARTA SELATAN,0.9
1719,1057,1058,3,SUKABUMI SELATAN,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1003,31.73.05,31.73,BERAT,367477.23942348,4780.3982986664705,JAKARTA BARAT,0.9
1720,1057,1058,3,KELAPA DUA,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1004,31.73.05,31.73,BERAT,520132.40913362504,8114.422479343591,JAKARTA BARAT,0.9
1721,1057,1058,3,DURI KEPA,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1005,31.73.05,31.73,BERAT,2940716.17141451,12131.3967233606,JAKARTA BARAT,0.9
1722,1057,1058,3,KEDOYA UTARA,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1006,31.73.05,31.73,BERAT,2263069.71391901,13519.8521843291,JAKARTA BARAT,0.9
1723,1057,1058,3,KEDOYA SELATAN,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1007,31.73.05,31.73,BERAT,1393789.56664212,8399.97460357769,JAKARTA BARAT,0.9
1724,1057,1058,3,KALIDERES,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1001,31.73.06,31.73,BERAT,3868670.45397965,23341.141006269,JAKARTA BARAT,0.9
1725,1057,1058,3,SEMANAN,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1002,31.73.06,31.73,BERAT,4166561.79918139,19625.532042200997,JAKARTA BARAT,0.9
1726,1057,1058,3,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,BERAT,3320582.67285323,17739.2961360894,JAKARTA BARAT,0.9
1727,1057,1058,3,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,BERAT,3739275.41800252,16676.7311484268,JAKARTA BARAT,0.9
1728,1057,1058,3,PEGADUNGAN,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1005,31.73.06,31.73,BERAT,4351022.18493476,21515.496556233,JAKARTA BARAT,0.9
1729,1057,1058,3,PALMERAH,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1001,31.73.07,31.73,BERAT,959885.742348526,7275.28781383,JAKARTA BARAT,0.9
1730,1057,1058,3,SLIPI,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1002,31.73.07,31.73,BERAT,313928.65049556905,4180.76725477104,JAKARTA BARAT,0.9
